SubCode,Class,Day,StartTime,EndTime,Room,Teacher
BUS101,Tutorial,Monday,14:30,16:30,3.48-Classroom B,Flevy Lasrado
BUS101,Tutorial,Wednesday,13:30,15:30,2.70-Block 19,Soha Chahine
BUS101,Tutorial,Wednesday,16:30,18:30,2.68-Block 19,Soha Chahine
BUS101,Tutorial,Monday,10:30,12:30,4.48-Classroom B,Soha Chahine
BUS101,Tutorial,Tuesday,14:30,16:30,5.10-Classroom B,Everyl Colaco
BUS101,Tutorial,Thursday,12:30,14:30,6.38-Classroom B,Flevy Lasrado
BUS101,Tutorial,Wednesday,14:30,16:30,5.10-Classroom B,Everyl Colaco
BUS101,Tutorial,Tuesday,08:30,10:30,4.50-Classroom B,Shaimaa Elsaid
BUS101,Tutorial,Monday,14:30,16:30,5.10-Classroom B,Shaimaa Elsaid
BUS101,Tutorial,Monday,16:30,18:30,5.18-Classroom A,Flevy Lasrado
BUS121,Lecture,Thursday,14:30,16:30,0.17-Lecture Theatre,Kashif Saleem
BUS121,Lecture,Tuesday,12:30,14:30,0.17-Lecture Theatre,Kashif Saleem
BUS121,Lecture,Wednesday,16:30,18:30,0.17-Lecture Theatre,Riya Bhattacharya
BUS121,Tutorial,Monday,08:30,10:30,5.12-Informal Classroom,Nikita Kirplani
BUS121,Tutorial,Monday,10:30,12:30,5.12-Informal Classroom,Nikita Kirplani
BUS121,Tutorial,Tuesday,08:30,10:30,5.12-Informal Classroom,Nikita Kirplani
BUS121,Tutorial,Monday,12:30,14:30,4.50-Classroom B,Nada Tchantchane
BUS121,Tutorial,Tuesday,14:30,16:30,6.38-Classroom B,Nada Tchantchane
BUS121,Tutorial,Monday,10:30,12:30,4.50-Classroom B,Nada Tchantchane
BUS121,Tutorial,Tuesday,12:30,14:30,6.38-Classroom B,Nada Tchantchane
BUS121,Tutorial,Wednesday,12:30,14:30,6.38-Classroom B,Riya Bhattacharya
BUS121,Tutorial,Monday,08:30,10:30,3.45-Classroom B,Sabreen Wahbeh
BUS121,Tutorial,Monday,12:30,14:30,3.42-Classroom B,Sabreen Wahbeh
BUS121,Tutorial,Tuesday,08:30,10:30,2.70-Block 19,Sabreen Wahbeh
BUS121,Tutorial,Tuesday,10:30,12:30,2.70-Block 19,Sabreen Wahbeh
BUS121,Tutorial,Tuesday,14:30,16:30,2.71-Block 19,Deepshikha Vyas
BUS121,Tutorial,Tuesday,16:30,18:30,2.71-Block 19,Deepshikha Vyas
BUS121,Tutorial,Friday,14:30,16:30,3.48-Classroom B,Deepshikha Vyas
BUS121,Tutorial,Friday,16:30,18:30,3.48-Classroom B,Deepshikha Vyas
BUS121,Tutorial,Tuesday,08:30,10:30,5.10-Classroom B,Ira Agtarap
BUS121,Tutorial,Tuesday,14:30,16:30,4.51-Tutorial Room,Kashif Saleem
BUS201,Lecture,Tuesday,10:30,12:30,0.17-Lecture Theatre,Prithvi Bhattacharya
BUS201,Lecture,Monday,12:30,14:30,0.17-Lecture Theatre,Prithvi Bhattacharya
BUS201,Tutorial,Tuesday,08:30,10:30,2.71-Block 19,Shehnaz Al-Helo
BUS201,Tutorial,Wednesday,14:30,16:30,3.48-Classroom B,Shehnaz Al-Helo
BUS201,Tutorial,Thursday,12:30,14:30,5.12-Informal Classroom,Shehnaz Al-Helo
